,city,date,PM_China,PM_US Post,Polluted State CH,Polluted State US
0,Beijing,2013-10-1,67.41666666666667,71.45833333333333,light,light
1,Beijing,2013-10-10,74.04166666666667,81.58333333333333,light,medium
2,Beijing,2013-10-11,59.694444444444436,59.291666666666664,light,light
3,Beijing,2013-10-12,69.2361111111111,70.45833333333333,light,light
4,Beijing,2013-10-13,54.51388888888891,57.333333333333336,light,light
5,Beijing,2013-10-14,37.739130434782595,39.0,light,light
6,Beijing,2013-10-15,21.416666666666668,23.291666666666668,good,good
7,Beijing,2013-10-16,50.43333333333334,55.7,light,light
8,Beijing,2013-10-17,160.92307692307693,172.46153846153845,heavy,heavy
9,Beijing,2013-10-18,231.54166666666663,248.16666666666666,heavy,heavy
10,Beijing,2013-10-19,60.94444444444446,68.0,light,light
11,Beijing,2013-10-2,16.680555555555554,19.541666666666668,good,good
12,Beijing,2013-10-20,24.97101449275362,28.869565217391305,good,good
13,Beijing,2013-10-21,93.83333333333331,100.5,medium,medium
14,Beijing,2013-10-22,136.02083333333331,146.5625,medium,medium
15,Beijing,2013-10-23,23.936507936507937,24.571428571428573,good,good
16,Beijing,2013-10-24,17.745098039215687,21.764705882352942,good,good
17,Beijing,2013-10-25,43.8421052631579,52.578947368421055,light,light
18,Beijing,2013-10-26,66.33333333333333,73.6875,light,light
19,Beijing,2013-10-27,213.72222222222223,236.38888888888889,heavy,heavy
20,Beijing,2013-10-28,283.44444444444446,320.26666666666665,heavy,heavy
21,Beijing,2013-10-29,31.5,29.333333333333332,good,good
22,Beijing,2013-10-3,62.04166666666666,61.041666666666664,light,light
23,Beijing,2013-10-30,92.58333333333333,104.0,medium,medium
24,Beijing,2013-10-31,142.66666666666669,170.75,medium,heavy
25,Beijing,2013-10-4,160.05555555555554,168.16666666666666,heavy,heavy
26,Beijing,2013-10-5,286.7826086956522,305.9130434782609,heavy,heavy
27,Beijing,2013-10-6,219.15277777777774,213.41666666666666,heavy,heavy
28,Beijing,2013-10-7,105.47222222222221,91.29166666666667,medium,medium
29,Beijing,2013-10-8,78.12962962962962,63.611111111111114,medium,light
30,Beijing,2013-10-9,145.54166666666669,146.5,medium,medium
31,Beijing,2013-11-1,204.30555555555563,217.0,heavy,heavy
32,Beijing,2013-11-10,19.02777777777778,19.333333333333332,good,good
33,Beijing,2013-11-11,37.77777777777777,41.625,light,light
34,Beijing,2013-11-12,61.79710144927536,62.82608695652174,light,light
35,Beijing,2013-11-13,182.1449275362319,199.95652173913044,heavy,heavy
36,Beijing,2013-11-14,66.69696969696969,69.95454545454545,light,light
37,Beijing,2013-11-15,108.75,118.375,medium,medium
38,Beijing,2013-11-16,45.40277777777777,47.333333333333336,light,light
39,Beijing,2013-11-17,9.541666666666668,13.833333333333334,good,good
40,Beijing,2013-11-18,8.666666666666666,11.708333333333334,good,good
41,Beijing,2013-11-19,36.68115942028985,42.21739130434783,light,light
42,Beijing,2013-11-2,259.8194444444444,286.7916666666667,heavy,heavy
43,Beijing,2013-11-20,69.48611111111111,77.625,light,medium
44,Beijing,2013-11-21,118.93939393939395,132.5,medium,medium
45,Beijing,2013-11-22,157.7638888888889,174.16666666666666,heavy,heavy
46,Beijing,2013-11-23,212.95652173913044,221.69565217391303,heavy,heavy
47,Beijing,2013-11-24,84.7638888888889,93.95833333333333,medium,medium
48,Beijing,2013-11-25,16.536231884057973,24.434782608695652,good,good
49,Beijing,2013-11-26,17.89393939393939,27.227272727272727,good,good
50,Beijing,2013-11-27,6.527777777777779,7.416666666666667,good,good
51,Beijing,2013-11-28,21.76388888888889,27.166666666666668,good,good
52,Beijing,2013-11-29,55.90277777777778,59.541666666666664,light,light
53,Beijing,2013-11-3,41.76388888888889,47.458333333333336,light,light
54,Beijing,2013-11-30,34.16666666666667,34.708333333333336,good,good
55,Beijing,2013-11-4,44.56521739130434,53.91304347826087,light,light
56,Beijing,2013-11-5,183.48611111111111,203.45833333333334,heavy,heavy
57,Beijing,2013-11-6,105.19444444444446,113.66666666666667,medium,medium
58,Beijing,2013-11-7,39.541666666666664,44.5,light,light
59,Beijing,2013-11-8,152.3472222222222,162.70833333333334,heavy,heavy
60,Beijing,2013-11-9,94.81944444444446,96.875,medium,medium
61,Beijing,2013-12-1,80.22222222222221,84.70833333333333,medium,medium
62,Beijing,2013-12-10,25.499999999999996,27.25,good,good
63,Beijing,2013-12-11,30.305555555555554,30.791666666666668,good,good
64,Beijing,2013-12-12,19.416666666666668,22.708333333333332,good,good
65,Beijing,2013-12-13,60.12499999999999,69.54166666666667,light,light
66,Beijing,2013-12-14,53.513888888888886,62.916666666666664,light,light
67,Beijing,2013-12-15,52.80555555555555,59.375,light,light
68,Beijing,2013-12-16,171.25757575757578,190.6818181818182,heavy,heavy
69,Beijing,2013-12-17,23.98039215686274,24.294117647058822,good,good
70,Beijing,2013-12-18,46.333333333333336,53.27272727272727,light,light
71,Beijing,2013-12-19,73.47619047619047,88.28571428571429,light,medium
72,Beijing,2013-12-2,123.0,136.58333333333334,medium,medium
73,Beijing,2013-12-20,34.45454545454545,36.5,good,light
74,Beijing,2013-12-21,71.63888888888889,91.29166666666667,light,medium
75,Beijing,2013-12-22,159.29166666666666,181.20833333333334,heavy,heavy
76,Beijing,2013-12-23,145.33333333333334,145.75,medium,medium
77,Beijing,2013-12-24,275.40579710144925,316.0869565217391,heavy,heavy
78,Beijing,2013-12-25,151.4722222222222,170.125,heavy,heavy
79,Beijing,2013-12-26,8.23611111111111,14.625,good,good
80,Beijing,2013-12-27,22.727272727272727,32.18181818181818,good,good
81,Beijing,2013-12-28,22.814814814814813,30.666666666666668,good,good
82,Beijing,2013-12-29,53.80392156862745,53.35294117647059,light,light
83,Beijing,2013-12-3,85.2361111111111,89.75,medium,medium
84,Beijing,2013-12-30,44.57142857142857,45.214285714285715,light,light
85,Beijing,2013-12-31,49.72222222222222,49.333333333333336,light,light
86,Beijing,2013-12-4,107.40277777777779,112.75,medium,medium
87,Beijing,2013-12-5,44.125,49.291666666666664,light,light
88,Beijing,2013-12-6,151.30555555555557,164.91666666666666,heavy,heavy
89,Beijing,2013-12-7,319.7638888888889,348.5,heavy,heavy
90,Beijing,2013-12-8,201.3472222222222,214.41666666666666,heavy,heavy
91,Beijing,2013-12-9,15.111111111111112,19.458333333333332,good,good
92,Beijing,2013-3-10,40.30555555555556,42.125,light,light
93,Beijing,2013-3-11,115.04166666666664,126.58333333333333,medium,medium
94,Beijing,2013-3-12,129.73611111111111,147.20833333333334,medium,medium
95,Beijing,2013-3-13,20.680555555555557,22.041666666666668,good,good
96,Beijing,2013-3-14,98.72727272727273,113.9090909090909,medium,medium
97,Beijing,2013-3-15,230.43939393939397,259.90909090909093,heavy,heavy
98,Beijing,2013-3-16,239.8550724637681,265.2173913043478,heavy,heavy
99,Beijing,2013-3-17,305.06060606060606,348.54545454545456,heavy,heavy
100,Beijing,2013-3-18,58.15277777777778,52.708333333333336,light,light
101,Beijing,2013-3-19,36.515151515151516,53.59090909090909,light,light
102,Beijing,2013-3-20,54.26388888888889,64.91666666666667,light,light
103,Beijing,2013-3-21,136.6527777777778,157.625,medium,heavy
104,Beijing,2013-3-22,85.0144927536232,64.78260869565217,medium,light
105,Beijing,2013-3-23,50.74999999999998,55.166666666666664,light,light
106,Beijing,2013-3-24,20.444444444444443,23.333333333333332,good,good
107,Beijing,2013-3-25,100.0,112.0,medium,medium
108,Beijing,2013-3-26,169.40579710144925,195.56521739130434,heavy,heavy
109,Beijing,2013-3-27,82.45833333333336,92.70833333333333,medium,medium
110,Beijing,2013-3-28,33.02898550724638,37.95652173913044,good,light
111,Beijing,2013-3-29,91.7272727272727,98.27272727272727,medium,medium
112,Beijing,2013-3-30,79.43478260869564,94.43478260869566,medium,medium
113,Beijing,2013-3-31,183.2463768115942,202.43478260869566,heavy,heavy
114,Beijing,2013-3-5,187.66666666666666,218.6,heavy,heavy
115,Beijing,2013-3-6,207.2463768115942,226.04347826086956,heavy,heavy
116,Beijing,2013-3-7,295.34782608695656,323.82608695652175,heavy,heavy
117,Beijing,2013-3-8,196.86363636363637,221.9090909090909,heavy,heavy
118,Beijing,2013-3-9,56.98550724637681,61.69565217391305,light,light
119,Beijing,2013-4-1,86.23611111111109,95.66666666666667,medium,medium
120,Beijing,2013-4-10,14.472222222222221,12.458333333333334,good,good
121,Beijing,2013-4-11,23.823529411764707,21.647058823529413,good,good
122,Beijing,2013-4-12,56.714285714285715,53.333333333333336,light,light
123,Beijing,2013-4-13,61.76811594202898,61.26086956521739,light,light
124,Beijing,2013-4-14,35.74242424242425,30.90909090909091,light,good
125,Beijing,2013-4-15,70.6969696969697,68.0,light,light
126,Beijing,2013-4-16,61.0,60.38095238095238,light,light
127,Beijing,2013-4-17,46.05882352941177,43.76470588235294,light,light
128,Beijing,2013-4-18,13.424242424242424,12.318181818181818,good,good
129,Beijing,2013-4-19,49.71929824561404,54.05263157894737,light,light
130,Beijing,2013-4-2,103.57407407407408,116.61111111111111,medium,medium
131,Beijing,2013-4-20,72.10606060606061,78.0909090909091,light,medium
132,Beijing,2013-4-21,127.11666666666667,133.55,medium,medium
133,Beijing,2013-4-22,150.2,166.65,heavy,heavy
134,Beijing,2013-4-23,183.66666666666669,205.13636363636363,heavy,heavy
135,Beijing,2013-4-24,70.23188405797102,75.8695652173913,light,medium
